@relation alpha2
@attribute a1 {a,b,c,d,e,f}
@attribute a2 {a,b,c,d,e,f}
@attribute a3 {a,b,c,d,e,f}
@attribute a4 {a,b,c,d,e,f}
@attribute a5 {a,b,c,d,e,f}
@attribute a6 {a,b,c,d,e,f}
@attribute a7 {a,b,c,d,e,f}
@attribute a8 {a,b,c,d,e,f}
@attribute a9 {a,b,c,d,e,f}
@attribute a10 {a,b,c,d,e,f}
@attribute class {yes,no}
@data
e,e,e,d,f,a,c,f,f,a,no
c,a,d,e,a,f,d,e,a,f,no
e,d,b,d,d,e,a,a,e,b,no
c,e,f,a,f,b,f,f,c,c,yes
a,e,f,c,f,b,f,e,d,e,yes
e,c,f,e,d,f,c,f,d,d,no
f,d,e,b,b,d,d,c,d,d,no
b,e,e,b,a,b,b,a,d,c,no
c,c,b,d,b,e,b,f,c,e,no
f,a,e,b,f,e,a,d,f,a,no
b,d,e,e,c,b,a,b,c,c,yes
c,f,a,d,c,e,b,a,f,a,no
f,a,d,e,a,e,b,b,c,f,no
e,e,e,e,a,a,a,e,d,b,no
a,a,a,c,d,d,e,b,f,d,no
f,d,b,f,e,b,b,c,c,c,no
b,e,e,b,b,e,d,f,a,e,no
e,b,a,b,e,c,b,b,c,b,no
e,a,e,c,b,b,c,b,a,b,no
c,e,a,e,a,b,c,a,e,d,no
b,b,a,e,a,a,c,b,b,d,no
b,c,d,e,a,f,d,b,b,a,yes
c,a,e,f,d,d,f,f,a,a,no
d,c,f,b,e,f,b,a,d,f,yes
e,b,d,d,d,a,f,a,d,d,no
f,e,c,d,e,f,e,d,b,b,yes
e,d,a,f,a,a,b,e,a,e,no
e,a,e,d,d,d,b,d,d,c,no
b,e,d,b,c,f,a,f,a,a,yes
b,d,b,b,e,a,f,e,b,c,no
b,f,c,f,f,d,a,e,d,e,no
c,e,e,e,e,c,f,a,b,a,no
b,c,d,d,a,d,b,a,e,a,yes
d,c,c,e,e,d,f,d,c,a,no
b,c,b,e,c,f,c,a,e,c,no
a,e,a,f,f,f,d,b,a,e,no
b,c,e,e,d,e,c,a,c,f,yes
e,e,a,c,c,e,b,c,f,d,no
d,c,d,d,d,c,c,d,e,d,no
e,f,c,b,f,a,e,a,d,e,no
b,e,a,d,f,f,b,d,a,f,no
c,b,f,e,d,f,e,c,d,c,no
e,e,b,a,a,d,f,b,d,c,no
f,a,c,e,b,a,f,b,a,f,no
b,b,b,c,e,c,e,f,b,d,no
c,d,a,b,b,e,a,f,d,d,no
a,d,e,b,b,c,b,d,b,d,yes
e,a,c,a,b,c,f,f,c,e,yes
a,a,b,d,d,b,b,d,f,f,no
b,b,d,d,c,d,f,c,a,a,no
d,b,b,a,e,d,f,b,b,c,no
f,a,e,a,e,a,c,b,b,b,no
d,c,c,c,c,d,d,a,a,a,no
b,c,e,a,e,f,b,c,d,e,yes
f,e,a,c,e,f,a,e,d,c,yes
f,a,d,b,b,e,f,b,c,e,no
d,f,e,a,c,e,a,b,f,f,yes
c,e,a,c,d,a,c,e,a,e,no
b,b,b,c,a,c,b,e,c,a,no
b,e,a,f,d,e,a,e,f,a,no
d,e,f,b,a,c,c,a,f,f,yes
a,a,b,e,b,d,e,f,d,c,no
d,c,c,b,d,f,b,c,d,f,yes
b,f,b,f,d,d,a,d,f,f,no
c,e,a,b,b,b,b,b,d,a,no
d,b,a,d,e,f,c,c,b,e,yes
b,c,b,f,f,a,d,d,d,b,no
e,f,c,b,a,e,e,b,c,d,no
e,f,a,e,d,e,c,e,d,a,no
b,e,e,b,b,d,b,b,e,e,no
d,b,e,c,d,c,f,b,b,c,no
e,f,e,c,d,f,e,c,e,d,yes
d,b,f,a,a,c,f,c,c,c,no
a,d,c,d,d,d,f,b,e,b,no
a,d,f,b,d,f,f,a,e,c,yes
d,f,f,f,a,f,f,b,d,f,no
c,d,c,e,d,a,b,b,e,e,no
f,a,f,a,f,e,b,f,b,a,no
f,d,d,e,f,c,e,a,e,a,no
d,c,f,b,d,b,a,c,c,e,no
b,d,e,a,f,a,c,c,c,b,yes
d,c,d,e,e,e,f,c,d,b,no
e,e,d,b,a,f,e,b,f,c,no
a,a,c,a,c,c,a,d,d,d,no
e,f,c,a,d,a,e,b,b,d,no
d,c,c,a,e,f,f,f,c,f,yes
a,c,f,a,d,d,d,b,e,c,yes
a,c,b,e,d,f,e,d,e,a,no
b,a,d,a,c,f,e,f,a,e,yes
d,d,c,f,a,d,d,a,c,e,no
f,e,d,a,d,d,b,e,d,f,no
e,c,e,c,f,e,f,a,f,b,no
a,e,a,b,c,a,b,b,e,d,no
c,d,d,a,a,e,b,e,d,d,no
a,f,e,d,e,f,e,f,c,a,yes
d,b,d,a,e,c,d,c,e,c,no
f,a,b,c,d,c,d,b,d,e,no
f,c,e,b,c,f,c,a,d,f,yes
a,b,e,e,d,c,a,f,d,e,yes
b,c,e,f,e,f,b,a,c,f,yes
e,f,c,e,a,e,e,f,c,c,no
b,a,b,a,b,a,d,d,d,a,no
b,d,e,a,c,b,e,a,b,e,yes
c,a,a,f,d,c,e,c,b,d,no
e,b,c,d,d,f,c,b,b,b,no
a,c,a,c,a,f,a,c,a,d,no
c,e,d,a,f,a,b,e,f,c,no
f,d,c,a,b,f,a,f,d,e,yes
d,c,b,a,b,a,d,b,b,d,no
b,d,d,f,d,f,f,c,d,e,no
c,c,f,c,c,b,e,e,b,a,no
c,a,c,a,f,a,c,a,f,e,no
f,b,c,e,a,c,c,e,c,f,no
a,f,a,b,c,f,c,c,b,b,yes
e,f,f,b,a,b,b,f,d,f,no
c,a,a,e,f,f,e,a,e,b,no
d,d,a,a,f,a,d,a,a,e,no
c,e,f,d,a,f,b,b,a,f,yes
e,c,e,e,d,b,f,b,a,e,no
e,c,b,c,e,e,f,c,b,d,no
f,d,d,d,d,b,c,f,c,e,no
d,e,d,d,b,f,e,d,c,c,no
d,f,a,c,e,e,b,d,d,e,no
c,f,c,c,f,c,f,a,b,b,no
b,a,c,c,d,f,e,f,f,a,yes
a,b,f,d,c,a,a,d,e,f,yes
f,f,d,a,b,d,e,f,b,d,yes
f,a,e,f,e,b,b,e,d,f,no
f,e,f,c,b,f,e,e,d,b,no
e,f,f,c,a,d,e,a,f,e,no
c,b,f,e,f,f,c,b,b,d,no
c,d,f,d,c,d,e,e,a,c,yes
f,a,d,a,d,a,d,b,c,b,no
b,a,b,f,c,d,b,a,b,d,no
a,a,f,b,a,f,a,e,e,f,no
d,f,f,e,c,f,e,c,b,e,no
e,f,d,c,b,c,a,c,a,d,no
a,a,e,e,c,c,b,b,c,f,no
e,e,f,f,a,e,c,c,d,d,no
d,a,a,a,a,d,d,c,e,a,no
a,a,b,e,c,e,a,c,f,a,no
f,e,f,a,b,c,a,a,e,b,yes
f,c,f,f,f,b,e,f,f,e,no
e,b,e,e,b,b,f,d,d,e,no
f,a,e,e,d,d,e,d,c,d,no
d,b,c,f,e,c,a,c,c,c,no
d,e,c,d,a,e,f,e,a,c,no
b,c,c,e,a,c,d,a,d,f,no
d,c,e,b,d,f,a,b,e,f,yes
b,d,a,b,f,b,c,c,c,a,no
e,c,c,e,e,b,b,b,e,a,no
a,e,e,b,b,d,f,a,e,e,no
d,e,a,d,a,c,d,d,b,f,no
b,c,d,c,c,f,f,d,e,f,yes
e,a,a,c,d,f,b,b,e,d,yes
a,d,b,a,e,a,d,d,d,d,no
f,e,f,a,b,d,c,e,f,f,yes
c,a,c,b,f,e,a,b,f,a,no
b,e,b,e,a,f,f,a,b,f,no
e,a,a,d,b,a,d,c,c,b,no
c,d,c,f,f,f,e,c,f,d,no
c,b,f,e,e,b,b,e,a,e,no
f,a,c,f,b,c,b,f,e,e,no
e,e,f,f,d,e,a,b,e,f,no
f,d,b,a,d,e,b,f,a,a,yes
e,d,e,a,d,e,a,b,f,e,yes
b,c,e,c,a,a,f,a,b,b,yes
b,a,e,b,e,c,b,f,a,c,no
d,b,a,d,d,e,a,b,b,a,no
b,d,f,e,e,f,b,e,b,c,yes
d,c,e,e,a,b,e,e,d,b,no
a,c,b,f,d,b,c,d,b,d,no
e,f,e,f,e,d,b,e,f,c,no
a,e,d,d,e,c,e,f,e,a,no
b,c,a,d,c,a,f,e,e,a,no
c,e,c,a,c,a,d,b,d,b,no
e,c,d,f,d,b,d,f,c,b,no
d,a,a,b,e,a,c,b,d,e,no
a,c,f,a,f,f,c,a,b,d,yes
e,a,b,c,f,b,c,a,d,c,no
e,c,c,d,c,f,b,c,c,d,no
a,f,c,a,e,c,f,a,f,f,no
a,d,e,e,a,e,d,e,d,f,yes
c,c,f,b,d,e,d,e,c,b,yes
c,d,d,e,b,f,b,f,d,e,no
c,b,f,a,b,d,d,e,f,d,yes
c,d,e,c,f,e,d,f,a,e,yes
b,e,c,e,b,c,c,c,d,b,no
d,a,c,e,d,a,d,a,c,a,no
e,b,e,d,a,c,a,c,d,d,no
c,c,d,d,f,c,a,f,d,a,no
c,c,d,a,a,a,e,f,a,a,no
f,f,f,b,e,f,c,f,b,e,yes
a,b,c,d,c,e,d,f,f,e,yes
b,b,a,b,c,b,e,b,f,e,no
d,b,d,f,e,b,c,b,c,d,no
e,c,d,b,a,c,f,c,e,b,no
d,b,f,e,f,f,c,b,d,f,no
b,f,a,d,d,d,d,d,b,a,no
d,a,b,d,a,b,b,f,d,e,no
a,b,b,c,f,b,b,c,b,c,no
e,f,e,e,b,c,f,d,f,d,no
e,f,d,d,a,b,e,c,e,f,no
d,e,e,f,e,f,e,d,b,e,no
c,f,d,d,b,d,b,b,f,f,no
e,b,d,b,b,b,c,c,a,d,no
d,e,b,e,c,e,f,a,f,a,no
f,e,b,c,b,c,f,c,c,f,no
f,c,b,d,d,f,c,e,b,c,no
f,e,b,b,c,d,e,c,b,b,yes
c,f,d,a,c,e,a,f,a,e,yes
f,e,d,e,d,e,f,d,e,a,no
f,f,c,c,f,e,c,b,d,e,no
a,a,e,e,f,c,e,b,d,a,no
b,d,c,e,a,a,c,e,f,d,no
f,e,b,d,c,e,a,e,d,e,no
d,a,d,f,e,b,f,f,b,b,no
a,b,f,f,f,d,a,b,b,e,yes
e,e,a,c,f,c,b,c,c,a,no
f,d,a,e,d,c,d,f,a,d,no
d,e,f,f,a,b,a,e,c,d,yes
e,b,d,b,a,a,f,c,c,c,no
b,f,e,b,b,c,e,e,b,e,no
a,a,f,a,d,f,f,a,e,c,yes
c,c,f,f,f,b,d,d,e,f,no
e,b,e,a,d,a,a,a,d,b,no
f,a,e,e,f,b,e,d,f,b,no
f,d,e,a,c,b,d,e,c,c,no
e,b,a,e,b,e,c,c,d,c,no
a,a,a,c,d,d,b,a,d,c,no
c,e,c,c,b,f,b,b,b,f,no
e,b,f,c,b,f,a,a,f,c,no
d,c,f,a,a,d,c,d,f,d,no
e,d,b,a,a,f,f,d,b,a,no
b,a,b,a,e,e,f,c,d,b,no
e,c,a,c,c,d,e,f,c,b,no
c,f,f,a,d,c,a,a,e,e,no
a,f,c,a,c,c,f,b,f,a,no
f,c,f,c,e,e,f,f,b,e,no
f,b,e,a,f,b,b,d,a,c,no
e,a,b,d,f,d,c,b,a,c,no
e,a,b,c,b,d,e,a,f,b,no
d,f,c,f,f,e,e,f,e,d,no
f,f,e,d,d,f,b,a,b,f,no
d,d,d,c,c,c,a,a,c,c,no
e,a,f,a,f,b,c,e,b,d,no
a,a,f,c,e,c,f,b,b,c,no
d,b,d,f,f,b,c,a,a,b,no
a,e,d,f,c,f,c,a,d,a,no
e,f,f,b,c,d,c,a,a,d,yes
f,a,a,a,a,f,f,e,a,f,no
b,c,d,c,f,c,a,f,e,f,yes
e,d,e,a,a,b,a,e,b,d,no
e,f,d,d,e,c,a,d,b,f,no
f,d,b,c,b,b,d,f,c,e,no
b,a,a,c,e,b,e,d,f,c,no
d,e,e,e,e,c,c,f,e,c,no
c,f,f,f,c,b,c,b,a,d,no
b,b,c,c,f,d,c,e,a,e,no
b,e,e,f,b,e,b,a,a,c,no
e,b,d,c,f,d,f,c,a,b,no
c,f,a,e,c,b,f,e,b,b,no
f,f,b,a,a,f,a,a,f,a,no
e,d,b,c,b,a,a,a,a,f,no
d,a,c,f,f,b,e,f,d,d,no
c,b,f,f,d,e,e,c,c,c,no
d,d,a,b,d,b,d,b,e,d,no
f,a,e,a,d,b,f,d,d,b,no
f,c,e,b,a,c,b,f,d,f,no
f,b,b,d,e,e,a,e,f,f,no
c,b,a,e,e,c,c,f,b,e,no
f,c,f,b,e,b,f,e,c,b,no
e,a,e,e,e,d,b,a,c,f,no
c,e,d,c,b,c,b,d,e,f,no
b,e,d,c,b,e,f,f,c,a,no
f,f,d,d,e,f,b,d,b,e,yes
f,e,f,b,e,a,f,c,f,f,no
f,b,d,e,b,b,a,d,e,a,no
d,e,a,f,c,c,c,b,e,c,no
c,b,e,b,d,b,f,e,c,a,no
e,a,c,c,a,d,d,e,c,e,no
d,b,a,b,e,d,d,d,f,c,no
e,c,e,d,e,f,b,e,f,b,yes
c,d,e,e,e,b,c,e,d,b,yes
b,d,f,f,e,d,d,e,d,c,yes
b,d,e,c,b,c,d,d,d,e,yes
f,f,f,d,e,f,a,c,b,a,yes
b,e,c,e,b,e,e,b,e,b,no
d,b,b,a,c,c,c,b,d,d,no
e,d,d,e,f,c,f,d,b,d,no
f,b,e,a,d,e,d,e,d,d,yes
d,c,a,c,e,b,d,c,b,e,no
a,a,d,b,a,d,e,d,b,c,no
a,d,c,e,c,e,c,f,e,e,no
f,e,f,b,a,f,f,c,a,b,no
e,c,e,d,d,a,a,f,d,f,no
a,d,f,b,e,b,b,c,e,e,yes
d,f,f,f,f,f,d,e,d,c,no
b,d,f,d,a,e,f,b,e,b,yes
c,e,e,f,d,e,b,f,f,c,no
d,b,f,c,c,d,b,a,f,e,no
d,e,f,e,e,f,e,e,b,d,yes
f,d,d,c,d,a,f,e,b,b,no
c,a,d,b,d,b,c,b,b,c,no
a,f,e,f,b,f,b,f,b,d,no
a,c,a,c,b,a,d,b,e,d,no
b,e,b,f,d,e,c,e,a,e,no
a,c,f,e,c,a,b,f,d,d,yes
d,d,b,a,c,e,d,a,f,b,yes
b,c,d,e,c,a,f,e,d,a,yes
f,d,d,d,d,b,c,b,e,e,no
a,a,a,a,d,c,d,e,d,a,no
e,a,a,c,b,a,b,b,b,f,no
c,b,f,f,e,b,f,d,f,b,no
d,c,e,b,c,e,f,b,a,a,yes
c,e,a,d,a,d,e,f,e,c,no
c,d,a,e,f,b,c,c,a,c,no
f,c,b,e,f,e,d,d,a,c,no
d,b,e,a,b,e,a,e,b,a,yes
f,e,e,a,e,c,a,d,b,b,no
f,b,f,d,e,c,f,f,c,d,no
d,b,f,a,f,c,b,f,f,d,no
e,e,f,c,f,e,f,b,b,b,no
c,a,d,b,a,d,c,a,d,a,no
e,e,e,c,f,e,a,c,f,c,no
e,e,a,a,a,a,c,b,c,e,no
c,c,f,f,b,e,f,e,f,d,no
b,e,f,e,c,a,f,a,d,c,yes
d,d,f,f,e,d,a,c,b,d,no
b,d,b,a,b,b,f,a,d,b,no
c,d,b,e,f,d,a,c,a,b,no
d,a,b,c,b,e,f,e,f,c,no
a,c,d,b,e,b,d,f,f,d,yes
b,c,f,b,b,c,e,d,e,c,yes
d,c,d,e,e,f,c,b,e,a,no
f,d,f,c,f,c,e,f,f,d,no
c,d,c,e,e,d,b,a,a,c,no
f,d,d,e,e,a,a,c,a,a,no
d,c,f,c,d,d,c,f,b,d,no
d,d,a,a,c,e,c,a,c,a,yes
e,e,e,b,c,c,d,b,f,b,no
f,b,c,b,e,b,e,e,f,f,no
d,b,a,c,d,a,a,d,e,c,no
a,d,e,e,c,a,b,f,c,f,yes
f,a,a,c,e,a,e,e,e,b,no
a,a,d,f,e,c,c,c,f,a,no
f,c,b,c,f,a,a,c,f,a,no
a,c,b,f,d,a,c,a,c,a,no
c,b,c,b,e,c,b,a,b,b,no
c,b,a,b,d,b,d,b,f,f,no
e,d,b,d,a,e,c,d,b,d,no
f,a,e,a,d,a,f,b,d,b,no
a,f,c,a,f,a,a,f,e,b,no
e,d,d,b,f,b,d,a,a,c,no
c,a,b,c,a,d,f,b,e,b,no
e,c,c,b,d,b,e,e,f,c,no
d,d,d,f,d,e,c,a,a,d,no
c,e,b,b,b,c,d,a,c,f,no
a,f,c,a,d,e,c,f,a,a,yes
c,e,c,f,f,e,c,f,b,c,no
c,e,e,d,e,b,a,e,f,f,no
c,d,c,a,d,e,b,a,a,a,yes
d,f,f,a,f,b,d,d,d,e,no
c,d,e,b,c,b,c,a,c,f,yes
c,a,a,a,c,b,a,d,d,e,no
a,b,b,c,a,c,e,b,c,a,no
f,e,e,a,c,f,c,d,f,d,yes
d,e,d,e,c,a,b,f,d,c,no
f,e,b,e,a,e,b,b,a,d,no
b,d,a,a,c,a,e,c,b,e,no
f,d,b,f,a,e,f,b,c,d,no
c,e,f,c,b,a,f,d,c,f,yes
d,b,a,a,f,d,d,d,d,f,no
c,a,a,f,a,c,b,c,c,d,no
c,d,e,b,c,e,b,c,b,c,yes
b,c,b,f,a,a,d,c,a,b,no
c,d,d,a,b,f,d,f,c,a,yes
d,e,f,e,c,c,c,a,e,a,yes
d,f,b,d,f,d,a,a,f,c,no
d,f,e,e,a,d,d,f,e,b,no
a,b,f,e,a,a,c,b,f,a,yes
f,f,b,f,e,f,d,f,d,b,no
b,e,f,d,c,e,b,d,d,a,yes
f,d,d,e,b,e,c,e,f,e,no
d,c,b,b,c,a,e,a,b,b,no
e,e,b,f,a,b,b,f,b,a,no
b,d,e,b,f,b,c,e,b,a,yes
b,c,b,e,c,d,f,f,a,c,no
d,f,d,d,d,c,a,f,a,d,no
b,d,c,a,e,c,f,d,b,b,no
d,f,a,a,f,e,f,f,a,e,no
d,c,c,a,d,e,a,e,f,f,yes
b,f,f,f,f,f,f,c,b,b,no
d,a,b,c,d,e,d,c,f,b,yes
c,e,d,c,f,a,f,f,e,e,no
a,f,c,c,d,c,a,d,a,f,no
d,f,f,f,d,c,e,c,c,a,no
f,f,c,f,f,a,a,e,e,f,no
b,f,f,a,e,e,c,b,c,d,no
c,e,e,e,f,d,b,f,e,f,no
e,c,a,c,a,c,d,d,f,a,no
f,d,a,c,e,e,f,d,c,a,no
a,c,c,d,a,e,e,a,d,f,no
c,b,d,e,a,f,d,e,e,e,no
a,f,a,c,e,d,f,f,c,f,no
c,f,a,c,d,f,f,b,f,a,yes
d,f,b,a,a,f,c,f,e,c,no
e,f,f,f,c,c,e,f,e,d,no
d,b,d,a,b,e,f,e,c,a,yes
b,b,f,a,e,d,f,f,c,f,no
f,b,a,a,c,a,a,b,b,c,no
c,d,e,d,f,d,e,a,b,c,yes
b,b,e,d,b,b,f,d,a,f,no
a,d,d,a,b,a,c,a,f,f,no
d,d,d,a,a,e,f,c,a,d,no
f,e,c,f,f,c,b,b,b,c,no
c,f,c,e,d,a,b,c,e,b,no
a,c,e,a,f,c,f,e,c,b,yes
b,d,d,b,e,e,a,b,f,a,no
c,c,f,c,e,e,c,b,e,e,no
e,d,e,a,d,a,a,e,b,e,no
d,e,e,b,f,b,b,a,b,d,no
a,c,e,c,f,c,d,c,c,d,yes
b,c,c,a,e,e,c,e,c,e,no
c,e,f,f,e,a,e,a,b,d,yes
a,f,f,a,b,c,a,b,f,d,yes
c,d,c,a,c,c,e,a,b,b,no
d,c,e,a,b,b,d,d,a,b,no
f,f,a,b,c,c,a,a,f,d,no
f,b,d,f,f,d,b,f,f,f,no
c,e,b,b,a,c,c,c,a,d,no
d,c,d,e,b,d,c,d,d,a,no
e,d,c,d,b,b,c,a,b,f,no
c,a,a,c,f,d,f,e,e,b,no
b,f,f,a,b,e,e,f,f,d,yes
a,a,f,c,b,d,d,a,f,d,no
a,c,d,b,a,e,b,f,f,c,yes
a,f,f,a,c,f,f,e,b,e,yes
e,b,b,f,d,b,d,e,d,c,no
e,c,b,c,b,b,f,d,f,d,no
c,c,b,e,b,d,f,f,f,a,no
c,f,e,d,e,c,c,b,e,d,no
a,a,d,b,c,f,b,f,d,c,yes
a,b,e,a,a,c,e,f,b,f,yes
e,d,d,d,e,a,c,c,f,c,no
b,d,b,b,d,f,d,e,a,d,yes
f,e,d,c,b,a,a,a,f,e,no
e,a,f,f,d,c,e,d,c,e,no
c,e,d,f,f,e,a,d,a,d,no
b,d,e,e,e,d,e,a,d,f,yes
e,c,f,a,a,b,c,e,d,d,no
e,c,b,d,e,d,d,e,a,d,no
a,d,b,a,a,c,e,e,d,d,no
a,c,d,c,f,b,f,d,d,d,yes
e,a,d,c,c,e,f,b,f,c,no
d,d,d,c,d,e,a,b,f,f,yes
a,b,a,d,d,a,a,a,a,c,no
f,f,f,e,e,d,f,a,e,b,no
c,b,b,c,b,d,b,e,b,f,no
e,f,a,d,d,e,a,e,f,d,no
d,d,b,e,f,e,f,d,d,f,no
a,e,d,e,d,f,d,c,a,f,no
b,b,b,c,b,b,a,c,e,e,no
f,e,f,c,d,d,f,f,d,a,no
e,a,d,a,c,c,f,a,d,d,no
f,d,b,b,d,f,e,a,d,e,yes
f,d,c,e,b,c,e,f,b,b,no
d,d,b,f,b,c,b,c,f,f,no
a,a,f,f,e,c,b,d,d,a,no
f,c,e,b,e,a,f,e,d,c,no
a,c,b,e,c,c,f,c,f,d,no
b,a,e,b,d,d,c,f,d,d,no
c,a,e,c,a,c,f,c,d,e,no
d,a,f,d,d,b,f,c,d,d,no
e,a,e,a,f,e,f,a,e,b,no
f,f,b,f,c,a,a,f,d,c,no
f,a,b,e,a,f,d,d,f,d,no
a,c,e,a,c,e,f,b,a,b,yes
b,d,e,d,c,f,a,a,c,f,yes
f,f,b,c,c,f,a,d,f,b,no
c,c,c,f,f,f,a,c,e,e,no
d,a,c,e,f,b,c,a,e,c,no
d,d,f,c,c,a,b,c,c,b,no
a,c,e,b,b,d,e,a,d,e,yes
d,f,b,d,b,f,a,d,a,e,no
d,f,c,e,d,c,a,b,c,f,no
d,a,e,d,b,e,a,e,e,d,no
e,b,f,a,d,d,e,f,c,e,no
e,d,d,e,b,d,f,e,b,a,no
e,a,f,a,d,f,a,f,d,f,yes
c,f,e,e,a,f,d,b,b,f,no
a,e,b,f,f,b,d,b,e,d,no
a,b,a,c,d,b,b,f,b,a,no
f,a,e,c,f,f,e,b,c,f,no
f,a,e,a,c,c,e,e,f,d,no
e,f,d,d,a,e,a,c,b,c,no
a,a,e,f,b,d,a,c,f,c,no
b,c,e,f,b,c,c,c,a,a,yes
f,e,e,a,e,c,d,c,a,d,no
b,b,c,f,d,a,a,b,d,b,no
b,f,d,d,e,d,f,e,d,d,no
e,c,c,a,b,a,a,b,b,c,no
e,c,a,f,d,a,b,a,b,d,no
c,f,f,a,f,e,c,f,f,d,no
b,e,f,b,f,c,c,b,f,e,yes
c,b,f,c,d,c,d,f,a,a,no
b,c,f,b,f,e,d,f,b,b,yes
c,d,e,a,a,b,c,a,a,d,yes
b,c,c,a,d,c,b,b,d,c,no
f,d,d,f,f,f,a,f,a,b,no
c,c,d,f,d,b,c,a,a,b,no
d,e,d,f,f,f,f,b,b,a,no
f,d,f,c,e,f,a,f,e,f,yes
b,b,e,e,e,a,f,c,c,d,no
c,d,c,d,d,f,c,b,a,c,no
d,d,d,f,b,b,c,d,f,c,no
d,e,b,b,f,b,c,e,d,b,no
a,b,c,f,f,a,d,e,b,b,yes
e,e,a,d,e,a,e,d,f,a,no
b,a,f,a,f,b,f,c,b,f,no
f,a,f,e,f,b,a,b,c,a,no
d,d,c,a,c,c,a,b,f,e,no
d,f,f,d,c,d,c,c,f,f,no
b,f,c,a,a,b,a,b,f,f,no
a,f,f,e,f,a,d,d,d,f,no
b,b,b,f,a,d,d,d,d,f,no
c,a,a,f,f,b,c,c,e,c,no
b,e,b,d,a,c,b,d,b,d,no
d,c,a,f,f,e,a,c,b,a,no
e,b,b,c,a,e,c,c,e,f,no
b,a,a,e,a,a,f,d,f,f,no
b,f,d,e,d,c,f,d,e,c,no
e,e,c,c,d,a,c,e,d,d,no
e,a,a,f,a,f,b,e,e,f,no
a,b,f,e,c,d,d,d,e,e,yes
e,b,c,f,c,e,c,d,c,d,no
c,e,f,b,e,e,d,d,a,b,yes
e,c,b,d,e,f,b,d,e,c,yes
d,e,c,d,b,d,a,d,b,c,no
e,d,b,f,e,c,d,a,b,c,no
d,d,a,c,e,a,b,e,c,a,no
b,a,f,d,f,c,d,a,d,f,no
f,c,a,d,d,e,c,d,a,b,no
d,d,c,e,f,c,c,c,d,b,no
f,c,e,a,e,e,d,a,b,c,no
a,a,c,c,a,e,e,f,a,e,no
e,b,b,e,a,e,e,b,c,c,no
f,c,a,b,d,b,b,a,d,b,no
d,d,a,f,b,e,d,e,b,a,no
d,f,f,f,b,f,a,e,d,f,no
e,e,d,f,a,f,d,c,b,e,no
c,e,a,a,a,c,b,e,f,f,no
c,e,d,f,a,f,b,f,e,e,no
b,a,b,d,a,a,c,f,b,b,no
c,a,e,d,e,f,b,e,e,d,yes
e,c,b,f,b,a,a,b,d,c,no
e,f,a,f,b,c,e,d,b,c,no
b,a,d,c,d,c,b,d,e,e,no
f,d,a,e,f,c,a,d,d,a,no
d,a,a,e,a,b,d,a,b,b,no
e,e,d,d,f,f,c,c,e,d,no
f,a,f,a,b,d,a,d,b,d,yes
e,e,f,c,a,f,b,d,a,e,no
c,e,f,e,d,d,f,a,d,c,yes
b,f,f,e,a,b,b,b,a,e,no
b,a,e,c,a,f,f,b,d,d,no
d,d,f,c,e,a,b,c,b,b,no
c,a,a,f,d,b,f,c,b,e,no
f,a,e,e,a,c,c,f,e,b,no
d,b,d,a,d,c,b,b,d,f,no
c,a,f,c,f,d,c,e,d,a,no
f,b,a,f,b,e,c,a,b,c,no
b,b,d,a,e,d,b,c,e,f,no
a,a,a,c,e,e,b,c,f,d,no
e,a,b,f,d,a,d,b,b,b,no
a,f,e,b,e,f,b,e,e,c,yes
f,d,b,c,c,c,b,f,a,b,no
a,d,b,b,f,c,c,a,d,b,no
d,d,e,b,f,f,b,c,d,a,no
d,e,e,f,a,e,d,d,d,a,no
e,d,e,b,f,a,d,c,e,f,no
c,d,b,c,f,c,a,b,a,a,no
a,d,a,c,a,b,e,e,b,b,no
c,d,c,b,a,b,e,e,a,a,no
d,b,a,a,c,f,e,e,c,a,yes
a,b,c,b,c,a,d,f,e,b,yes
e,b,b,a,a,d,b,b,b,e,no
e,f,f,e,a,a,e,d,b,c,no
d,d,e,c,e,b,f,f,c,f,no
a,d,e,f,f,e,c,b,e,a,yes
d,b,f,d,b,c,d,d,b,b,no
c,e,b,a,d,a,a,f,f,d,no
f,b,e,d,b,a,b,e,c,f,no
b,d,f,c,d,e,d,d,a,c,yes
f,c,a,e,d,d,c,c,a,e,no
c,e,c,f,f,d,b,e,d,e,no
b,c,f,a,e,e,e,c,d,b,yes
e,e,c,c,d,f,b,e,e,d,yes
a,f,c,c,d,b,f,d,c,a,no
b,a,c,b,d,e,c,c,a,c,yes
e,f,d,d,a,a,d,a,d,a,no
a,b,d,b,a,a,a,d,c,d,yes
c,d,f,a,b,a,a,c,d,a,yes
c,f,c,c,e,c,b,e,e,f,no
e,b,e,e,e,b,a,b,a,c,no
c,e,f,c,d,b,a,c,b,a,yes
a,c,a,d,f,a,d,d,f,f,no
a,c,e,f,b,a,c,e,a,b,yes
a,e,c,f,f,a,d,c,b,d,no
c,c,a,b,e,c,d,a,a,a,no
e,e,b,b,d,d,e,e,b,d,no
c,d,c,e,e,b,e,e,f,d,no
e,b,c,f,c,f,f,d,b,f,no
d,d,f,e,f,d,e,b,a,c,no
c,f,c,b,e,e,d,b,c,d,no
a,c,b,a,d,e,d,f,a,c,yes
b,b,a,c,e,f,f,b,f,a,yes
c,b,c,b,d,d,e,a,e,d,no
d,a,c,a,d,a,d,f,d,c,no
